year,month,product,country,volume_kg,value_usd
2023,01,ABALONE PREPARED/PRESERVED,MEXICO,5202,180097
2023,01,ANCHOVY FRESH,MEXICO,3189,14560
2023,01,ANCHOVY PREPARED/PRESERVED,ARUBA,190,3028
2023,01,ANCHOVY SALTED,CHINA,48000,144480
2023,01,AQUATIC INVERTEBRATES NSPF,CANADA,4084,20542
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,COSTA RICA,7520,46314
2023,01,ATKA MACKEREL FROZEN,UNITED KINGDOM,4051,5145
2023,01,CARP NSPF FRESH,CANADA,15062,65821
2023,01,CARP NSPF FRESH,IVORY COAST,655,2990
2023,01,CARP NSPF FRESH,UNITED KINGDOM,656,2995
2023,01,CARP NSPF FROZEN,ISRAEL,17145,125000
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",BARBADOS,275,3001
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",BERMUDA,3399,24110
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",BRAZIL,400,8731
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",CHILE,362,8731
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",COSTA RICA,300,4275
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",JAPAN,227,5456
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",QATAR,1944,12624
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",SEYCHELLES,200,4365
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",SINGAPORE,227,5456
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",SOUTH KOREA,900,9822
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",URUGUAY,600,6548
2023,01,"CARP,EELS,SNAKEHEAD FILLET FRESH",VIETNAM,525,5729
2023,01,"CATFISH (ICTALURUS,PANGASIUS,SILURUS) FRESH",CANADA,1360,10694
2023,01,"CATFISH (ICTALURUS,PANGASIUS,SILURUS) FROZEN",COSTA RICA,723,6006
2023,01,"CATFISH (ICTALURUS,PANGASIUS,SILURUS) FROZEN",NETHERLANDS,735,4395
2023,01,"CATFISH (ICTALURUS,PANGASIUS,SILURUS) FROZEN",TURKS & CAICOS IS.,510,3692
2023,01,"CATFISH (ICTALURUS,PANGASIUS,SILURUS,CLARIAS) FILLET FRESH",BAHAMAS,1924,11868
2023,01,"CATFISH (ICTALURUS,PANGASIUS,SILURUS,CLARIAS) FILLET FRESH",CANADA,9730,73837
2023,01,"CATFISH (ICTALURUS,PANGASIUS,SILURUS,CLARIAS) FILLET FRESH",TURKS & CAICOS IS.,3060,22405
2023,01,CAVIAR,PANAMA,44,3233
2023,01,CAVIAR,PORTUGAL,15648,1172932
2023,01,CAVIAR,ST.LUCIA,40,3120
2023,01,CAVIAR SUBSTITUTE PREPARED/PRESERVED,CANADA,800,11811
2023,01,CAVIAR SUBSTITUTE PREPARED/PRESERVED,GERMANY,1200,26450
2023,01,CAVIAR SUBSTITUTE PREPARED/PRESERVED,LITHUANIA,17046,727000
2023,01,CAVIAR SUBSTITUTE PREPARED/PRESERVED,NETHERLANDS,38668,1323920
2023,01,CAVIAR SUBSTITUTE PREPARED/PRESERVED,SWEDEN,4995,232629
2023,01,CLAM GEODUCK DRIED/SALTED/BRINE,CHINA,1418,10335
2023,01,CLAM GEODUCK FROZEN,BARBADOS,389,2832
2023,01,CLAM GEODUCK LIVE/FRESH,CANADA,3579,80205
2023,01,CLAM GEODUCK LIVE/FRESH,CHINA,129711,5333986
2023,01,CLAM GEODUCK LIVE/FRESH,CHINA - HONG KONG,206520,6804771
2023,01,CLAM GEODUCK LIVE/FRESH,SINGAPORE,773,51346
2023,01,CLAM GEODUCK LIVE/FRESH,TAIWAN,839,26286
2023,01,CLAM GEODUCK LIVE/FRESH,UNITED ARAB EMIRATES,380,11870
2023,01,CLAM NSPF FROZEN,SINT MAARTEN,2079,8600
2023,01,CLAM NSPF LIVE/FRESH,CANADA,37439,201519
2023,01,CLAM NSPF PREPARED/PRESERVED,ARUBA,1179,5954
2023,01,CLAM NSPF PREPARED/PRESERVED,AUSTRALIA,15649,72455
2023,01,CLAM NSPF PREPARED/PRESERVED,CANADA,40198,159405
2023,01,CLAM NSPF PREPARED/PRESERVED,JAPAN,49695,102000
2023,01,CLAM NSPF PREPARED/PRESERVED,PHILIPPINES,969,7160
2023,01,CLAM NSPF PREPARED/PRESERVED,SINGAPORE,11177,33449
2023,01,COBIA FROZEN,BAHAMAS,4789,10558
2023,01,"COCKLES,ARK SHELLS NSPF FROZEN",CHINA - HONG KONG,2000,9400
2023,01,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",CHINA,31848,342068
2023,01,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",CHINA - HONG KONG,1544,12556
2023,01,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",SINGAPORE,95,6610
2023,01,CONCH NSPF LIVE/FRESH,CANADA,2281,28737
2023,01,CRAB DUNGENESS FROZEN,CANADA,848,11270
2023,01,CRAB DUNGENESS FROZEN,CHINA,43952,704606
2023,01,CRAB DUNGENESS FROZEN,CHINA - HONG KONG,5005,87050
2023,01,CRAB KING FROZEN,BAHAMAS,27,2744
2023,01,CRAB KING FROZEN,CANADA,12749,252458
2023,01,CRAB KING FROZEN,MEXICO,3246,62639
2023,01,CRAB NSPF DRIED/SALTED/BRINE,CANADA,321010,3000561
2023,01,CRAB NSPF DRIED/SALTED/BRINE,COSTA RICA,1560,15600
2023,01,CRAB NSPF DRIED/SALTED/BRINE,PERU,72,3023
2023,01,CRAB NSPF DRIED/SALTED/BRINE,URUGUAY,168,7054
2023,01,CRAB NSPF FROZEN,ARUBA,490,5452
2023,01,CRAB NSPF FROZEN,BAHAMAS,1134,6600
2023,01,CRAB NSPF FROZEN,CANADA,1930,20686
2023,01,CRAB NSPF FROZEN,CAYMAN IS.,633,3000
2023,01,CRAB NSPF FROZEN,CHINA,17690,234000
2023,01,CRAB NSPF FROZEN,CHINA - HONG KONG,313,4829
2023,01,CRAB NSPF FROZEN,DOMINICAN REPUBLIC,227,5300
2023,01,CRAB NSPF FROZEN,INDONESIA,17693,234000
2023,01,CRAB NSPF FROZEN,MEXICO,1000,16533
2023,01,CRAB NSPF FROZEN,PHILIPPINES,10893,52319
2023,01,CRAB NSPF LIVE/FRESH,CANADA,1318246,10924391
2023,01,CRAB NSPF LIVE/FRESH,CHINA,520087,10546661
2023,01,CRAB NSPF LIVE/FRESH,CHINA - HONG KONG,11610,212494
2023,01,CRAB NSPF LIVE/FRESH,SOUTH KOREA,2634,61208
2023,01,CRAB NSPF LIVE/FRESH,TAIWAN,4546,79449
2023,01,CRAB NSPF OTHER PREPARATIONS,CANADA,3855,24970
2023,01,CRAB NSPF OTHER PREPARATIONS,CAYMAN IS.,80,3591
2023,01,CRAB NSPF OTHER PREPARATIONS,VENEZUELA,5126,93160
2023,01,CRAB PRODUCTS PREPARED DINNERS,BAHAMAS,397,8968
2023,01,CRAB PRODUCTS PREPARED DINNERS,ECUADOR,34899,171891
2023,01,CRAB PRODUCTS PREPARED DINNERS,TAIWAN,13620,114955
2023,01,CRAB SNOW FROZEN,CANADA,35256,198887
2023,01,CRAB SNOW FROZEN,JAPAN,32595,251506
2023,01,CRAB SNOW FROZEN,MEXICO,571,15579
2023,01,CRABMEAT NSPF FRESH,ARUBA,109,4001
2023,01,CRABMEAT NSPF FRESH,CHINA,29862,574608
2023,01,CRABMEAT NSPF FROZEN,ARUBA,2155,36050
2023,01,CRABMEAT NSPF FROZEN,BAHAMAS,4832,21939
2023,01,CRABMEAT NSPF FROZEN,BARBADOS,159,4506
2023,01,CRABMEAT NSPF FROZEN,CANADA,10999,135120
2023,01,CRABMEAT NSPF FROZEN,CAYMAN IS.,384,3068
2023,01,CRABMEAT NSPF FROZEN,COLOMBIA,19051,111900
2023,01,CRABMEAT NSPF FROZEN,CURACAO,885,3779
2023,01,CRABMEAT NSPF FROZEN,JAMAICA,7273,50913
2023,01,CRABMEAT NSPF FROZEN,JAPAN,2142,86413
2023,01,CRABMEAT NSPF FROZEN,NETHERLANDS,2828,22605
2023,01,CRABMEAT NSPF FROZEN,NICARAGUA,380,2790
2023,01,CRABMEAT NSPF IN ATC,BRAZIL,180,3411
2023,01,CRABMEAT NSPF IN ATC,CANADA,361,3942
2023,01,CRABMEAT NSPF IN ATC,COSTA RICA,156,6690
2023,01,CRABMEAT NSPF IN ATC,URUGUAY,144,2728
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,ARUBA,280,3355
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,BARBADOS,224,2684
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,COLOMBIA,1457,17445
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,PANAMA,1460,17445
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,TRINIDAD & TOBAGO,1402,16774
2023,01,CRABMEAT SNOW OTHER FROZEN,MEXICO,1306,10076
2023,01,CRABMEAT SNOW OTHER IN ATC,MEXICO,39982,304142
2023,01,CRAWFISH FRESHWATER FROZEN,MEXICO,3271,11537
2023,01,CRUSTACEANS NSPF FROZEN,ANTIGUA & BARBUDA,1214,15084
2023,01,CRUSTACEANS NSPF FROZEN,ARUBA,806,7513
2023,01,CRUSTACEANS NSPF FROZEN,BAHAMAS,1837,22038
2023,01,CRUSTACEANS NSPF FROZEN,BARBADOS,6153,46513
2023,01,CRUSTACEANS NSPF FROZEN,CANADA,16578,118795
2023,01,CRUSTACEANS NSPF FROZEN,CAYMAN IS.,3966,50434
2023,01,CRUSTACEANS NSPF FROZEN,CHILE,226,4975
2023,01,CRUSTACEANS NSPF FROZEN,CHINA - HONG KONG,883,10927
2023,01,CRUSTACEANS NSPF FROZEN,MEXICO,3235,40051
2023,01,CRUSTACEANS NSPF FROZEN,NETHERLANDS,226,2875
2023,01,CRUSTACEANS NSPF FROZEN,SINT MAARTEN,1637,23173
2023,01,CRUSTACEANS NSPF FROZEN,TRINIDAD & TOBAGO,305,6018
2023,01,CRUSTACEANS NSPF FROZEN,URUGUAY,422,6702
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,DOMINICAN REPUBLIC,325,3346
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,MEXICO,1259,22665
2023,01,CRUSTACEANS NSPF PRODUCTS PREPARED DINNERS,SOUTH KOREA,56337,441000
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,BERMUDA,667,4190
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,COLOMBIA,2800,17680
2023,01,CUTTLEFISH FROZEN,COSTA RICA,250,7125
2023,01,CUTTLEFISH FROZEN,FRANCE,100,3575
2023,01,CUTTLEFISH FROZEN,MEXICO,46401,162607
2023,01,CUTTLEFISH LIVE/FRESH,CANADA,6316,43176
2023,01,CUTTLEFISH PREPARED/PRESERVED,CANADA,5911,53924
2023,01,DOGFISH AND OTHER SHARK FILLET FRESH,BAHAMAS,6492,46052
2023,01,DOGFISH AND OTHER SHARK MEAT FROZEN,GERMANY,35192,332427
2023,01,"DOGFISH, OTHER SHARK, RAYS AND SKATES (RAJIDAE) FILLET FROZEN",FRANCE,894,6104
2023,01,"DOGFISH, OTHER SHARK, RAYS AND SKATES (RAJIDAE) FILLET FROZEN",INDIA,5611,26545
2023,01,"DOGFISH, OTHER SHARK, RAYS AND SKATES (RAJIDAE) FILLET FROZEN",UNITED KINGDOM,571,2700
2023,01,EELS FRESH,MEXICO,5470,9900
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",BARBADOS,5221,18576
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",CANADA,1313,4451
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",COLOMBIA,964,12454
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",COSTA RICA,1700,21954
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",DOMINICAN REPUBLIC,1227,15831
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",ISRAEL,13605,60000
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",JAMAICA,980,12665
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",MEXICO,18016,73277
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",PANAMA,5092,20265
2023,01,"FISH BALLS,CAKES,PUDDING PREPARED/PRESERVED",TRINIDAD & TOBAGO,19530,57628
2023,01,FISH MEAL FOR HUMAN CONSUMPTION,CANADA,8639,5925
2023,01,FISH NSPF DRIED,CANADA,220,3309
2023,01,FISH NSPF DRIED,CAYMAN IS.,1000,3504
